date,indoorSense.iAQ
9/26/2020 3:24:31.180000000 PM,687
9/26/2020 3:24:33.255000000 PM,687
9/26/2020 3:24:35.335000000 PM,687
9/26/2020 3:24:37.415000000 PM,687
9/26/2020 3:24:39.503000000 PM,687
9/26/2020 3:24:41.591000000 PM,685
9/26/2020 3:24:43.796000000 PM,687
9/26/2020 3:24:45.875000000 PM,687
9/26/2020 3:24:47.954000000 PM,690
9/26/2020 3:24:50.033000000 PM,692
9/26/2020 3:24:52.104000000 PM,695
9/26/2020 3:24:54.194000000 PM,698
9/26/2020 3:24:56.279000000 PM,700
9/26/2020 3:24:58.367000000 PM,700
9/26/2020 3:25:00.444000000 PM,705
9/26/2020 3:25:02.523000000 PM,708
9/26/2020 3:25:04.616000000 PM,708
9/26/2020 3:25:06.720000000 PM,713
9/26/2020 3:25:08.817000000 PM,715
9/26/2020 3:25:10.914000000 PM,718
9/26/2020 3:25:12.996000000 PM,721
9/26/2020 3:25:15.078000000 PM,721
9/26/2020 3:25:17.155000000 PM,721
9/26/2020 3:25:19.237000000 PM,721
9/26/2020 3:25:21.320000000 PM,721
9/26/2020 3:25:23.406000000 PM,721
9/26/2020 3:25:25.487000000 PM,721
9/26/2020 3:25:27.566000000 PM,721
9/26/2020 3:25:29.656000000 PM,721
9/26/2020 3:25:31.738000000 PM,721
9/26/2020 3:25:33.820000000 PM,721
9/26/2020 3:25:35.909000000 PM,721
9/26/2020 3:25:37.988000000 PM,721
9/26/2020 3:25:40.065000000 PM,721
9/26/2020 3:25:42.140000000 PM,721
9/26/2020 3:25:44.314000000 PM,715
9/26/2020 3:25:46.395000000 PM,710
9/26/2020 3:25:48.478000000 PM,705
9/26/2020 3:25:50.560000000 PM,700
9/26/2020 3:25:52.640000000 PM,695
9/26/2020 3:25:54.718000000 PM,692
9/26/2020 3:25:56.803000000 PM,687
9/26/2020 3:25:58.887000000 PM,682
9/26/2020 3:26:00.966000000 PM,677
9/26/2020 3:26:03.047000000 PM,674
9/26/2020 3:26:05.133000000 PM,669
9/26/2020 3:26:07.223000000 PM,664
9/26/2020 3:26:09.298000000 PM,662
9/26/2020 3:26:11.382000000 PM,662
9/26/2020 3:26:13.460000000 PM,662
9/26/2020 3:26:15.549000000 PM,662
9/26/2020 3:26:17.627000000 PM,662
9/26/2020 3:26:19.717000000 PM,662
9/26/2020 3:26:21.808000000 PM,664
9/26/2020 3:26:23.948000000 PM,664
9/26/2020 3:26:26.027000000 PM,664
9/26/2020 3:26:28.111000000 PM,667
9/26/2020 3:26:30.188000000 PM,669
9/26/2020 3:26:32.294000000 PM,669
9/26/2020 3:26:34.399000000 PM,672
9/26/2020 3:26:36.486000000 PM,674
9/26/2020 3:26:38.580000000 PM,680
9/26/2020 3:26:40.667000000 PM,680
9/26/2020 3:26:42.759000000 PM,680
9/26/2020 3:26:44.847000000 PM,680
9/26/2020 3:26:46.940000000 PM,680
9/26/2020 3:26:49.030000000 PM,680
9/26/2020 3:26:51.120000000 PM,680
9/26/2020 3:26:53.209000000 PM,680
9/26/2020 3:26:55.310000000 PM,680
9/26/2020 3:26:57.398000000 PM,677
9/26/2020 3:26:59.490000000 PM,677
9/26/2020 3:27:01.589000000 PM,677
9/26/2020 3:27:03.659000000 PM,677
9/26/2020 3:27:05.765000000 PM,677
9/26/2020 3:27:07.865000000 PM,674
9/26/2020 3:27:09.964000000 PM,672
9/26/2020 3:27:12.059000000 PM,669
9/26/2020 3:27:16.047000000 PM,669
9/26/2020 3:27:18.141000000 PM,664
9/26/2020 3:27:20.246000000 PM,662
9/26/2020 3:27:22.331000000 PM,656
9/26/2020 3:27:24.419000000 PM,654
9/26/2020 3:27:26.512000000 PM,654
9/26/2020 3:27:28.611000000 PM,651
9/26/2020 3:27:30.714000000 PM,649
9/26/2020 3:27:32.811000000 PM,644
9/26/2020 3:27:34.898000000 PM,644
9/26/2020 3:27:36.991000000 PM,644
9/26/2020 3:27:39.186000000 PM,639
9/26/2020 3:27:41.557000000 PM,636
9/26/2020 3:27:43.654000000 PM,636
9/26/2020 3:27:45.742000000 PM,633
9/26/2020 3:27:47.831000000 PM,629
9/26/2020 3:27:49.940000000 PM,629
9/26/2020 3:27:51.998000000 PM,626
9/26/2020 3:27:54.092000000 PM,626
9/26/2020 3:27:56.212000000 PM,626
9/26/2020 3:27:58.307000000 PM,629
9/26/2020 3:28:00.399000000 PM,629
9/26/2020 3:28:02.486000000 PM,636
9/26/2020 3:28:04.608000000 PM,636
9/26/2020 3:28:06.699000000 PM,633
9/26/2020 3:28:08.787000000 PM,629
9/26/2020 3:28:10.880000000 PM,624
9/26/2020 3:28:12.961000000 PM,621
9/26/2020 3:28:15.066000000 PM,618
9/26/2020 3:28:18.576000000 PM,618
9/26/2020 3:28:20.662000000 PM,616
9/26/2020 3:28:24.075000000 PM,613
9/26/2020 3:28:26.147000000 PM,613
9/26/2020 3:28:28.231000000 PM,611
9/26/2020 3:28:30.306000000 PM,611
9/26/2020 3:28:32.391000000 PM,611
9/26/2020 3:28:34.501000000 PM,613
9/26/2020 3:28:36.580000000 PM,613
9/26/2020 3:28:38.667000000 PM,613
9/26/2020 3:28:40.751000000 PM,613
9/26/2020 3:28:42.832000000 PM,613
9/26/2020 3:28:44.921000000 PM,613
9/26/2020 3:28:47.007000000 PM,613
9/26/2020 3:28:49.093000000 PM,616
9/26/2020 3:28:51.173000000 PM,616
9/26/2020 3:28:53.255000000 PM,616
9/26/2020 3:28:55.335000000 PM,618
9/26/2020 3:28:57.415000000 PM,621
9/26/2020 3:28:59.509000000 PM,624
9/26/2020 3:29:01.589000000 PM,626
9/26/2020 3:29:03.669000000 PM,626
9/26/2020 3:29:05.748000000 PM,629
9/26/2020 3:29:07.827000000 PM,633
9/26/2020 3:29:09.912000000 PM,636
9/26/2020 3:29:11.998000000 PM,639
9/26/2020 3:29:14.085000000 PM,644
9/26/2020 3:29:16.169000000 PM,649
9/26/2020 3:29:18.246000000 PM,651
9/26/2020 3:29:20.323000000 PM,654
9/26/2020 3:29:22.399000000 PM,656
9/26/2020 3:29:24.486000000 PM,656
9/26/2020 3:29:26.570000000 PM,656
9/26/2020 3:29:28.646000000 PM,656
9/26/2020 3:29:30.728000000 PM,656
9/26/2020 3:29:32.812000000 PM,656
9/26/2020 3:29:34.901000000 PM,656
9/26/2020 3:29:36.976000000 PM,656
9/26/2020 3:29:40.109000000 PM,656
9/26/2020 3:29:42.188000000 PM,656
9/26/2020 3:29:44.275000000 PM,654
9/26/2020 3:29:46.364000000 PM,651
9/26/2020 3:29:48.451000000 PM,649
9/26/2020 3:29:50.532000000 PM,646
9/26/2020 3:29:52.618000000 PM,646
9/26/2020 3:29:54.707000000 PM,644
9/26/2020 3:29:56.787000000 PM,644
9/26/2020 3:29:58.870000000 PM,644
9/26/2020 3:30:00.948000000 PM,641
9/26/2020 3:30:03.028000000 PM,641
9/26/2020 3:30:05.103000000 PM,641
9/26/2020 3:30:07.184000000 PM,639
9/26/2020 3:30:09.266000000 PM,639
9/26/2020 3:30:11.346000000 PM,639
9/26/2020 3:30:13.423000000 PM,639
9/26/2020 3:30:15.510000000 PM,639
9/26/2020 3:30:17.588000000 PM,639
9/26/2020 3:30:19.671000000 PM,639
9/26/2020 3:30:23.632000000 PM,639
9/26/2020 3:30:25.720000000 PM,641
9/26/2020 3:30:27.807000000 PM,646
9/26/2020 3:30:29.890000000 PM,646
9/26/2020 3:30:31.971000000 PM,649
9/26/2020 3:30:34.059000000 PM,654
9/26/2020 3:30:36.138000000 PM,656
9/26/2020 3:30:38.229000000 PM,659
9/26/2020 3:30:40.307000000 PM,661
9/26/2020 3:30:42.386000000 PM,659
9/26/2020 3:30:44.470000000 PM,659
9/26/2020 3:30:46.550000000 PM,659
9/26/2020 3:30:48.635000000 PM,659
9/26/2020 3:30:50.725000000 PM,661
9/26/2020 3:30:52.811000000 PM,664
9/26/2020 3:30:54.887000000 PM,664
9/26/2020 3:30:56.974000000 PM,664
9/26/2020 3:30:59.058000000 PM,666
9/26/2020 3:31:01.142000000 PM,672
9/26/2020 3:31:03.224000000 PM,674
9/26/2020 3:31:05.307000000 PM,679
9/26/2020 3:31:07.388000000 PM,684
9/26/2020 3:31:09.476000000 PM,687
9/26/2020 3:31:11.558000000 PM,689
9/26/2020 3:31:13.642000000 PM,692
9/26/2020 3:31:15.736000000 PM,697
9/26/2020 3:31:17.815000000 PM,697
9/26/2020 3:31:19.899000000 PM,697
9/26/2020 3:31:21.987000000 PM,702
9/26/2020 3:31:24.071000000 PM,700
9/26/2020 3:31:26.143000000 PM,702
9/26/2020 3:31:28.229000000 PM,707
